WAC_CODE,WAC_DESC,REGION,HEMISPHERE
747,Macau,Asia & Pacific,Global South
749,Malaysia,Asia & Pacific,Global South
750,Maldives,Asia & Pacific,Global South
751,Mongolia,Asia & Pacific,Global South
755,Nepal,Asia & Pacific,Global South
764,Pakistan,Asia & Pacific,Global South
766,Philippines,Asia & Pacific,Global South
776,Singapore,Asia & Pacific,Global North
781,Taiwan,Asia & Pacific,Global North
782,Thailand,Asia & Pacific,Global South
783,Tajikistan,Asia & Pacific,Global South
785,Turkmenistan,Asia & Pacific,Global South
788,Uzbekistan,Asia & Pacific,Global South
791,Vietnam,Asia & Pacific,Global South
800,American Samoa,Asia & Pacific,Global South
801,Antarctica,Asia & Pacific,Global South
802,Australia,Asia & Pacific,Global North
803,Christmas Island,Asia & Pacific,Global South
804,Papua New Guinea,Asia & Pacific,Global South
812,Cocos (Keeling) Islands,Asia & Pacific,Global South
813,Cook Islands,Asia & Pacific,Global South
817,Tuvalu,Asia & Pacific,Global South
823,French Polynesia,Asia & Pacific,Global South
824,Kiribati,Asia & Pacific,Global South
826,Guam,Asia & Pacific,Global South
832,Indonesia,Asia & Pacific,Global South
841,Northern Mariana Islands,Asia & Pacific,Global South
843,Marshall Islands,Asia & Pacific,Global South
844,Marshall Islands,Asia & Pacific,Global South
845,Nauru,Asia & Pacific,Global South
846,New Caledonia,Asia & Pacific,Global South
851,New Zealand,Asia & Pacific,Global North
852,Niue,Asia & Pacific,Global South
853,Norfolk Island,Asia & Pacific,Global South
854,Palau,Asia & Pacific,Global South
862,Timor-Leste,Asia & Pacific,Global South
874,Solomon Islands,Asia & Pacific,Global South
881,Tonga,Asia & Pacific,Global South
885,Vanuatu,Asia & Pacific,Global South
892,Samoa,Asia & Pacific,Global South
975,Greenland,Europe,Global North
977,Saint Pierre and Miquelon,North America,Global North
